id,image_src,shape,lens_width,gender,color,face_shape,skin,width,target
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,oval,dark,54,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1476OK001_1.jpg?v=1689328302,rectangle,55,female,black,oval,dark,54,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL645F001_1.jpg?v=1692776167,rectangle,55,male,black,oval,dark,54,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL186BSLIM001_1.jpg?v=1689328751,rectangle,53,male,black,oval,dark,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG0566ON004_1.jpg?v=1693459054,rectangle,52,female,pink,oval,light,51,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1129OJ001_1.jpg?v=1642644445,rectangle,52,female,black,oval,dark,51,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0934OA001_1.jpg?v=1625040669,rectangle,54,male,black,oval,dark,53,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900849_1.jpg?v=1705277330,rectangle,53,female,pink,oval,light,52,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900848_1.jpg?v=1705277314,rectangle,54,female,black,oval,dark,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1800833_1.jpg?v=1705277234,rectangle,52,female,gold,oval,dark,51,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1402964_1.jpg?v=1705277193,rectangle,51,female,brown,oval,dark,50,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/PU0064O001_1.jpg?v=1665630294,rectangle,54,male,blue,oval,dark,53,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL532004_1.jpg?v=1693463927,round,53,male,black,oval,dark,52,
7.06E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1349O003_1.jpg?v=1674802099,round,53,male,gold,oval,dark,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1145O003_1.jpg?v=1665625175,round,54,female,gold,oval,dark,53,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SLM96001_1.jpg?v=1702266002,round,55,female,black,oval,dark,54,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL471001_1.jpg?v=1658797459,round,53,female,black,oval,dark,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927270_1_bf7de9ae-ced6-47d0-a1ab-4b15a74ce714.jpg?v=1603961277,round,51,female,pink,oval,light,50,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927303_1_4f62b72a-d63f-43e0-a8ce-d19f36ac4e67.jpg?v=1603961490,round,51,male,gold,oval,dark,50,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027316_1.jpg?v=1678325680,round,53,male,black,oval,dark,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027329_1_614ba48a-434f-47d9-ac53-d4cb79fde9f9.jpg?v=1603961743,round,54,female,pink,oval,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028918_1.jpg?v=1625028365,round,51,male,black,oval,dark,50,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028926_1.jpg?v=1625028385,round,53,male,gold,oval,dark,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028927_1.jpg?v=1603956969,round,58,female,green,oval,dark,57,
7.01E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2351508_1.jpg?v=1671066561,d-frame,52,male,black,oval,dark,51,
6.87E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2230834_1.jpg?v=1673484750,d-frame,54,female,green,oval,dark,53,
6.85E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2230821_1.jpg?v=1652845657,d-frame,49,female,blue,oval,dark,48,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL482001_1.jpg?v=1627363251,d-frame,54,female,black,oval,dark,53,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL454001_1.jpg?v=1628728297,d-frame,56,male,black,oval,dark,55,
5.42E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0826O004_1.jpg?v=1625037664,d-frame,55,male,black,oval,dark,54,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG0548O005_1.jpg?v=1693458478,d-frame,55,female,black,oval,dark,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1702867_1.jpg?v=1705277221,d-frame,51,female,pink,oval,light,50,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027310_1_9df8fc58-6b1d-4574-a0f4-f0cd8d2cef30.jpg?v=1603961528,d-frame,49,male,black,oval,dark,48,
6.87E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP1830836_1.jpg?v=1673484649,d-frame,53,female,brown,oval,dark,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL345001_1.jpg?v=1665630386,square,55,male,black,oval,dark,54,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1231OA001_1.jpg?v=1659427665,square,55,male,gold,oval,dark,54,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1230OA002_1.jpg?v=1659427659,square,53,male,black,oval,dark,52,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1213OA004_1.jpg?v=1659335673,square,55,female,black,oval,dark,54,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1209O002_1.jpg?v=1659335667,square,57,male,gold,oval,dark,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1192O004_1.jpg?v=1659427481,square,53,female,black,oval,dark,52,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1125OA002_1.jpg?v=1642644428,square,53,male,gold,oval,dark,52,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1124OA001_1.jpg?v=1642644418,square,55,male,black,oval,dark,54,
